업소명,소재지,영업장면적,전화번호,업태명,데이터기준일자
빈대떡과사름덜,제주특별자치도 제주시 천수로6길 4 ,67.65,064-742-1096,한식,2021-02-23
빈대떡과사름덜용담점,제주특별자치도 제주시 용화로 39 ,22,064-744-3594,한식,2021-02-23
빌레리조트구내식당,제주특별자치도 제주시 애월읍 고내로13길 79,240,064-799-2002,한식,2021-02-23
빠름,제주특별자치도 제주시 서광로26길 9-3 ,47.7,064-757-2060,한식,2021-02-23
빠삭,제주특별자치도 제주시 구좌읍 월정3길 53-2,11.6,,한식,2021-02-23
빨간맛집세화점,제주특별자치도 제주시 구좌읍 구좌로 46,34.52,,한식,2021-02-23
빨간맛집함덕점,제주특별자치도 제주시 조천읍 함덕13길 4,142.45,,한식,2021-02-23
빨간집,제주특별자치도 제주시 광양13길 7,126.56,064-759-3353,한식,2021-02-23
빨강궁전식당,제주특별자치도 제주시 애월읍 고내봉길 42-9,104.45,064-799-0200,한식,2021-02-23
빨강코끼리,제주특별자치도 제주시 다랑곶6길 26-1 ,55.38,064-712-0355,한식,2021-02-23
빽풍,제주특별자치도 제주시 연삼로 448 ,63.51,064-753-5292,한식,2021-02-23
뻘떡낙지,제주특별자치도 제주시 구산로 3,84.18,064-759-5242,한식,2021-02-23
뻘쭈,제주특별자치도 제주시 신성로13길 4,83.37,,한식,2021-02-23
뼈대감,제주특별자치도 제주시 한림읍 한림중앙로 61-2,85.45,064-796-3356,한식,2021-02-23
뽀글뽀글,제주특별자치도 제주시 임항로 60,68.47,064-757-1318,한식,2021-02-23
뽀요요,제주특별자치도 제주시 우도면 우도해안길 128,126.12,064-783-8118,한식,2021-02-23
뽕갈찜,제주특별자치도 제주시 인다9길 34,94.38,064-702-8883,한식,2021-02-23
뽕글락갈비,제주특별자치도 제주시 애월읍 하귀로 65,57.2,,한식,2021-02-23
뽕이네각재기,제주특별자치도 제주시 동광로 150 ,41.3,,한식,2021-02-23
뽕이네각재기1호점외도,제주특별자치도 제주시 우정로5길 10,64.97,,한식,2021-02-23
사거리,제주특별자치도 제주시 도공로 32,102.98,064-712-0185,한식,2021-02-23
사계오름,제주특별자치도 제주시 복지로3길 2-9 ,114.85,064-724-1162,한식,2021-02-23
사계절국수,제주특별자치도 제주시 조천읍 남조로 2115,104,,한식,2021-02-23
사공오공식당,제주특별자치도 제주시 오일장서길 26 ,32,,한식,2021-02-23
사광,제주특별자치도 제주시 과원북4길 86 ,92.12,064-744-1080,한식,2021-02-23
사나포차연동점,제주특별자치도 제주시 연동8길 21 ,50.44,064-744-1233,한식,2021-02-23
사라보쌈족발,제주특별자치도 제주시 서사로 163,119.07,,한식,2021-02-23
사라보쌈족발신제주점,제주특별자치도 제주시 삼무로 72,50.29,,한식,2021-02-23
사라봉,제주특별자치도 제주시 고으니길 10 ,102,064-722-8514,한식,2021-02-23
사라봉보양탕,제주특별자치도 제주시 사라봉길 25,33.33,,한식,2021-02-23
사라봉주물럭,제주특별자치도 제주시 사라봉길 7,74.67,,한식,2021-02-23
사라봉진가네해장국,제주특별자치도 제주시 사라봉길 28 ,66,064-724-5086,한식,2021-02-23
사랑,제주특별자치도 제주시 동문로 100,116.39,064-723-2006,한식,2021-02-23
사랑,제주특별자치도 제주시 동문로4길 12 ,14.5,064-757-5058,한식,2021-02-23
사랑길,제주특별자치도 제주시 서사로 109 ,39.33,064-755-6798,한식,2021-02-23
사랑담은해물,제주특별자치도 제주시 신대로6길 29,116,064-747-0052,한식,2021-02-23
사랑마루,제주특별자치도 제주시 연삼로 541 ,39.04,,한식,2021-02-23
사랑물,제주특별자치도 제주시 고마로 55,124.81,064-721-5588,한식,2021-02-23
사랑방,제주특별자치도 제주시 신대로16길 37-1 ,58.9,064-747-9807,한식,2021-02-23
사랑방포차,제주특별자치도 제주시 한림읍 한림중앙로 14,38.88,,한식,2021-02-23
사랑식당,제주특별자치도 제주시 한경면 두신로 46,72.86,064-772-3752,한식,2021-02-23
사랑터,제주특별자치도 제주시 제원4길 6 ,69.96,064-711-7523,한식,2021-02-23
사려니국수,제주특별자치도 제주시 조천읍 남조로 1732,112.5,,한식,2021-02-23
사방팔방,제주특별자치도 제주시 우정로10길 12 ,131.76,,한식,2021-02-23
사뿐,제주특별자치도 제주시 오일장동길 36,93.39,,한식,2021-02-23
사월의꿩,제주특별자치도 제주시 구좌읍 번영로 2178,130.6,,한식,2021-02-23
사주카페꾼,제주특별자치도 제주시 한림읍 일주서로 5294,63,,한식,2021-02-23
사천빠슈마라탕,제주특별자치도 제주시 조천읍 조함해안로 514,137,,한식,2021-02-23
사천훠궈,제주특별자치도 제주시 신대로16길 50,254.61,,한식,2021-02-23
사토,제주특별자치도 제주시 연동3길 36 ,118,,한식,2021-02-23
산고을칼국수,제주특별자치도 제주시 오복4길 34,68.88,,한식,2021-02-23
산과들,제주특별자치도 제주시 동광로6길 3 ,60,064-722-4981,한식,2021-02-23
산과들신제주점,제주특별자치도 제주시 연동10길 31,22.5,,한식,2021-02-23
산내들,제주특별자치도 제주시 서광로4길 16 ,57,064-702-0885,한식,2021-02-23
산내들내,제주특별자치도 제주시 조천읍 번영로 1338,153.9,064-784-1881,한식,2021-02-23
산내들맛집,제주특별자치도 제주시 조천읍 남조로 2337,125.69,064-784-8309,한식,2021-02-23
산도롱맨도롱,제주특별자치도 제주시 구좌읍 해맞이해안로 2284,174.35,,한식,2021-02-23
산도위치제주본점,제주특별자치도 제주시 북성로 64,31.09,,한식,2021-02-23
산들네,제주특별자치도 제주시 아연로 158 ,66,064-744-0012,한식,2021-02-23
산들바람,제주특별자치도 제주시 조천읍 선교로 44,96,,한식,2021-02-23
산들촌,제주특별자치도 제주시 애월읍 평화로 2751,109,064-746-6880,한식,2021-02-23
산마을가든,제주특별자치도 제주시 애월읍 평화로 2564,162.48,064-799-2122,한식,2021-02-23
산방산,제주특별자치도 제주시 신대로16길 44,101.8,,한식,2021-02-23
산방식당제주점,제주특별자치도 제주시 구남로8길 10-5 ,352.36,,한식,2021-02-23
산빛마당,제주특별자치도 제주시 애월읍 장전로 197,141.18,,한식,2021-02-23
산삼배양근삼계탕다도해,제주특별자치도 제주시 탑동로 114 ,67.32,064-752-1107,한식,2021-02-23
산아,제주특별자치도 제주시 구남로6길 19,56.26,,한식,2021-02-23
산아름,제주특별자치도 제주시 산천단동3길 25 ,67.98,064-755-3938,한식,2021-02-23
산에들에오리,제주특별자치도 제주시 동광로6길 28 ,172.1,064-722-8415,한식,2021-02-23
산오름,제주특별자치도 제주시 서광로 246 ,127,,한식,2021-02-23
산적,제주특별자치도 제주시 월랑로4길 17,39.6,064-711-0900,한식,2021-02-23
산적국수,제주특별자치도 제주시 구좌읍 세화1길 20-20,32.86,,한식,2021-02-23
산전수전,제주특별자치도 제주시 중앙로24길 20,54.8,064-755-4678,한식,2021-02-23
산지로,제주특별자치도 제주시 정존15길 27 ,146.28,064-747-1889,한식,2021-02-23
산지물신제주점,제주특별자치도 제주시 신대로10길 53 ,288.9,064-745-5799,한식,2021-02-23
산천단토종닭,제주특별자치도 제주시 516로 3041-24 ,20,064-702-1582,한식,2021-02-23
산천초목오리약선요리,제주특별자치도 제주시 오복6길 8 ,40.7,064-723-5670,한식,2021-02-23
산촌,제주특별자치도 제주시 성신로 15 ,61.75,064-744-5292,한식,2021-02-23
산촌오리외도점,제주특별자치도 제주시 우정로8길 1 ,111.22,064-711-0080,한식,2021-02-23
산티아고게스트하우스구내,제주특별자치도 제주시 조천읍 신촌9길 47-2,9.88,,한식,2021-02-23
산호숯불꼼장어,제주특별자치도 제주시 원노형로 7 ,33.9,064-711-6020,한식,2021-02-23
산호풍경이호점,제주특별자치도 제주시 우도면 우도해안길 1126,133.25,,한식,2021-02-23
살아있는해물뚝배기어마장장,제주특별자치도 제주시 성지로 62 ,92.84,064-726-3369,한식,2021-02-23
삼겹면대패리,제주특별자치도 제주시 신대로14길 5 ,52.8,,한식,2021-02-23
삼공주회센터2호,제주특별자치도 제주시 진동로 74-6,74.74,064-758-7392,한식,2021-02-23
삼교리동치미막국수,제주특별자치도 제주시 오라로 150 ,154.57,064-757-5957,한식,2021-02-23
삼남매식당,제주특별자치도 제주시 인다9길 18,100.98,064-702-4349,한식,2021-02-23
삼다가,제주특별자치도 제주시 신대로9길 27,166.11,064-747-4711,한식,2021-02-23
삼다갈비,제주특별자치도 제주시 서광로 43,415.22,,한식,2021-02-23
삼다돈,제주특별자치도 제주시 원노형남1길 27,190.86,064-713-6655,한식,2021-02-23
삼다숲길가든,제주특별자치도 제주시 조천읍 남조로 1712,133.01,064-783-5570,한식,2021-02-23
삼다잔치,제주특별자치도 제주시 중앙로20길 9,80,064-721-5477,한식,2021-02-23
삼다칼국수,제주특별자치도 제주시 문송1길 2 ,63.25,064-721-9509,한식,2021-02-23
삼다해,제주특별자치도 제주시 연신로 33-1,104,,한식,2021-02-23
삼대국수회관노형점,제주특별자치도 제주시 노형13길 11,223.7,064-722-3366,한식,2021-02-23
삼대국수회관본점,제주특별자치도 제주시 삼성로 41 ,350.39,064-759-6644,한식,2021-02-23
삼대국수회관신제주점,제주특별자치도 제주시 신대로20길 32 ,124.25,064-747-9493,한식,2021-02-23
삼대전통고기국수,제주특별자치도 제주시 신대로5길 17 ,117.39,064-748-7558,한식,2021-02-23
삼도골고루,제주특별자치도 제주시 전농로 96,96.4,064-722-5978,한식,2021-02-23
삼도명가,제주특별자치도 제주시 중앙로14길 34,94.25,064-753-6565,한식,2021-02-23
삼도미쯔모모제주점,제주특별자치도 제주시 고마로10길 3 ,48.85,064-759-0044,한식,2021-02-23
삼도제주,제주특별자치도 제주시 중앙로24길 24 ,162.88,064-753-6614,한식,2021-02-23
삼룡정,제주특별자치도 제주시 남성로 97 ,83.94,,한식,2021-02-23
삼무국수,제주특별자치도 제주시 삼무로3길 46-1,176.09,064-711-5656,한식,2021-02-23
삼무삼계탕,제주특별자치도 제주시 신대로10길 55 ,62.72,,한식,2021-02-23
삼무해장국밥,제주특별자치도 제주시 신대로10길 22,42.5,064-748-4053,한식,2021-02-23
삼미정흑돼지랑오리,제주특별자치도 제주시 신대로8길 30,26.4,064-745-3300,한식,2021-02-23
삼복돌판구이,제주특별자치도 제주시 애월읍 애월해안로 86,73.4,064-799-8311,한식,2021-02-23
삼복정본점,제주특별자치도 제주시 평전1길 3 ,98.75,064-753-4988,한식,2021-02-23
삼성혈분식,제주특별자치도 제주시 오현길 9,32.18,064-721-5034,한식,2021-02-23
삼성혈해물탕,제주특별자치도 제주시 선덕로5길 20 ,100.34,064-745-3000,한식,2021-02-23
삼성혈해물탕1호점,제주특별자치도 제주시 도두항서7길 23 ,152.31,,한식,2021-02-23
삼성호어부횟집,제주특별자치도 제주시 월대5길 35 ,76,064-743-3114,한식,2021-02-23
삼손,제주특별자치도 제주시 한림읍 강구로 36,123.22,064-796-4474,한식,2021-02-23
삼시세끼,제주특별자치도 제주시 선반남1길 72 ,93,,한식,2021-02-23
삼아갈비,제주특별자치도 제주시 서광로21길 4-1 ,102.3,,한식,2021-02-23
삼양국수,제주특별자치도 제주시 선사로8길 49,57.32,,한식,2021-02-23
삼양다맛,제주특별자치도 제주시 원당로7길 18,99.44,064-725-0133,한식,2021-02-23
삼양돌솥매운탕,제주특별자치도 제주시 선사로8길 12,81.91,,한식,2021-02-23
삼양장원,제주특별자치도 제주시 일주동로 394,158.68,064-702-3088,한식,2021-02-23
삼영식당,제주특별자치도 제주시 애월읍 일주서로 6748,15.84,064-743-3535,한식,2021-02-23
삼육오,제주특별자치도 제주시 가령로 71 ,61.85,064-752-9948,한식,2021-02-23
삼의오름,제주특별자치도 제주시 516로 3013-16 ,77.22,064-757-1009,한식,2021-02-23
삼일식당,제주특별자치도 제주시 한림읍 한림상로 92,114.99,064-796-3136,한식,2021-02-23
삼일해장국,제주특별자치도 제주시 애월읍 하귀9길 14,146.11,,한식,2021-02-23
삼주,제주특별자치도 제주시 천수로 56,48,064-751-1641,한식,2021-02-23
삼춘뼈해장국,제주특별자치도 제주시 애월읍 구엄길 71,84.52,064-745-0253,한식,2021-02-23
삼춘장,제주특별자치도 제주시 월랑로2길 21 ,36.55,,한식,2021-02-23
삼학도횟집,제주특별자치도 제주시 원노형남1길 14-1 ,148.52,,한식,2021-02-23
삼해인관광호텔구내,제주특별자치도 제주시 도령로 108 ,303.25,064-742-7775,한식,2021-02-23
삼해횟집,제주특별자치도 제주시 우평로 354,171.12,,한식,2021-02-23
삼형제민재민형민준이네,제주특별자치도 제주시 삼봉로 144 ,147.73,064-753-9200,한식,2021-02-23
삼화수제돈까스,제주특별자치도 제주시 건주로4길 34,45.99,,한식,2021-02-23
삼화올레국수,제주특별자치도 제주시 화삼로 9 ,43,064-755-3655,한식,2021-02-23
상아탑,제주특별자치도 제주시 제주대학로7길 6-1 ,112.9,,한식,2021-02-23
상위호환,제주특별자치도 제주시 서광로32길 16-1,116.64,,한식,2021-02-23
상춘재,제주특별자치도 제주시 조천읍 선진길 26,113.28,,한식,2021-02-23
상호네숯불구이,제주특별자치도 제주시 남광로 146,165,064-759-0304,한식,2021-02-23
새둥지,제주특별자치도 제주시 동광로4길 11 ,73,064-753-4868,한식,2021-02-23
새몽실식당,제주특별자치도 제주시 신대로12길 11 ,61.26,064-743-6655,한식,2021-02-23
새미언덕,제주특별자치도 제주시 중산간동로 188-6,117,,한식,2021-02-23
새빛,제주특별자치도 제주시 성신로 20 ,25.06,064-744-3858,한식,2021-02-23
새재암식당,제주특별자치도 제주시 한림읍 한림로 346,66.75,064-796-2858,한식,2021-02-23
새큰이가든,제주특별자치도 제주시 애월읍 애원로 198,97.2,064-799-9080,한식,2021-02-23
새평화,제주특별자치도 제주시 서문로4길 13-2 ,32.4,064-753-3431,한식,2021-02-23
새한라회관,제주특별자치도 제주시 한림읍 문교길 8,198.24,064-796-8822,한식,2021-02-23
색달가든,제주특별자치도 제주시 오복3길 20,143.87,064-751-4884,한식,2021-02-23
색이고아,제주특별자치도 제주시 다랑곶4길 40,45.25,,한식,2021-02-23
샘이네집,제주특별자치도 제주시 서문로4길 13-2 ,27.04,064-723-1908,한식,2021-02-23
생고기통김치찌개,제주특별자치도 제주시 한림읍 한림로5길 11,82.8,,한식,2021-02-23
생돈우리,제주특별자치도 제주시 우평로 38,459.02,064-745-0022,한식,2021-02-23
생이소리,제주특별자치도 제주시 명림로 241 ,121.68,064-753-4567,한식,2021-02-23
샤롯데,제주특별자치도 제주시 중앙로 73 ,64.75,064-753-4621,한식,2021-02-23
샤브가득,제주특별자치도 제주시 애월읍 하귀동남3길 15-15,121.6,,한식,2021-02-23
샤브마니아제주노형점,제주특별자치도 제주시 한라대학로 25,171,,한식,2021-02-23
샤브샤브전문점청해,제주특별자치도 제주시 중앙로14길 30-1,281.4,064-721-1413,한식,2021-02-23
샤브향신제주점,제주특별자치도 제주시 월랑로 30 ,297,064-901-4994,한식,2021-02-23
샤이니,제주특별자치도 제주시 구좌읍 송당4길 7,72.12,064-783-5089,한식,2021-02-23
샹그릴라 호텔구내,제주특별자치도 제주시 해안마을북길 14-6 ,548.58,064-743-8098,한식,2021-02-23
서가네막국수,제주특별자치도 제주시 우정로18길 15 ,70.91,,한식,2021-02-23
서귀포모녀식당,제주특별자치도 제주시 선덕로3길 20 ,94.47,064-747-4290,한식,2021-02-23
서도가든,제주특별자치도 제주시 청풍길 4 ,71.25,064-725-3375,한식,2021-02-23
서로푸드,제주특별자치도 제주시 동화로1길 49-5,33,064-756-0608,한식,2021-02-23
서림칡냉면,제주특별자치도 제주시 진동로3길 34,66,064-721-5161,한식,2021-02-23
서문대우식당,제주특별자치도 제주시 서문로4길 13-2 ,20.72,064-753-8375,한식,2021-02-23
서문올레,제주특별자치도 제주시 서문로4길 13-2,26.8,064-725-2422,한식,2021-02-23
서문일번지식당,제주특별자치도 제주시 서문로4길 13-2,20.21,,한식,2021-02-23
서문장터해장국,제주특별자치도 제주시 탑동로 134,74.04,064-722-7735,한식,2021-02-23
서바다돌장어,제주특별자치도 제주시 귀아랑길 13,189,064-747-1727,한식,2021-02-23
서부두,제주특별자치도 제주시 임항로 37-2,202.56,064-756-0506,한식,2021-02-23
서사라모이세해장국직영점,제주특별자치도 제주시 서광로5길 37,104.16,064-751-5361,한식,2021-02-23
서서방숯불닭갈비일도점,제주특별자치도 제주시 천수로8길 5,164,064-756-0056,한식,2021-02-23
서양주점1399,제주특별자치도 제주시 국기로 14,71.92,064-711-6992,한식,2021-02-23
서오릉다슬기제주점,제주특별자치도 제주시 광양7길 15 ,94,064-721-8875,한식,2021-02-23
서울뚝배기,제주특별자치도 제주시 아연로 10 ,172,064-712-4550,한식,2021-02-23
서울명동칼국수,제주특별자치도 제주시 조천읍 일주동로 780,40,064-782-0024,한식,2021-02-23
서울보쌈,제주특별자치도 제주시 원노형로 68 ,77.56,,한식,2021-02-23
서울식당,제주특별자치도 제주시 조천읍 함덕13길 5,142.16,064-783-8170,한식,2021-02-23
서울집,제주특별자치도 제주시 신산로 44-1,82.84,064-726-7122,한식,2021-02-23
서울풍미탑동점,제주특별자치도 제주시 탑동로 35,68.15,064-752-2324,한식,2021-02-23
서원토종닭,제주특별자치도 제주시 삼성로13길 35 ,69.05,064-755-1140,한식,2021-02-23
서진이네,제주특별자치도 제주시 한경면 중산간서로 3664 ,55.3,064-772-5807,한식,2021-02-23
서촌제(서울촌놈인제주),제주특별자치도 제주시 한림읍 한림해안로 646,66,064-736-3796,한식,2021-02-23
서프라이즈,제주특별자치도 제주시 조천읍 남조로 2243,116.4,,한식,2021-02-23
서호네뚝배기,제주특별자치도 제주시 용담로 111 ,47.62,064-702-2211,한식,2021-02-23
서황,제주특별자치도 제주시 애월읍 장소로 205-2,51.1,,한식,2021-02-23
석다원,제주특별자치도 제주시 구좌읍 해맞이해안로 1752,94.72,,한식,2021-02-23
석물원식당,제주특별자치도 제주시 한림읍 한림로 176,32,,한식,2021-02-23
석봉이네,제주특별자치도 제주시 진군4길 30,118.7,,한식,2021-02-23
석정삼계탕,제주특별자치도 제주시 진서로 33-3 ,81.9,064-723-5295,한식,2021-02-23
석주돈가,제주특별자치도 제주시 서광로20길 7 ,110.14,064-753-0073,한식,2021-02-23
석촌,제주특별자치도 제주시 중앙로2길 33 ,63,064-755-4096,한식,2021-02-23
선미뷔페,제주특별자치도 제주시 만덕로3길 11,83.9,,한식,2021-02-23
선봉식당,제주특별자치도 제주시 동고산로 16 ,54,064-725-0513,한식,2021-02-23
선이네밥집,제주특별자치도 제주시 조천읍 신북로 262,92.09,064-727-3450,한식,2021-02-23
선인장,제주특별자치도 제주시 한림읍 월령안길 14-3,84.09,064-796-8881,한식,2021-02-23
선창식당투,제주특별자치도 제주시 조천읍 신촌북2길 31,133.55,064-783-6697,한식,2021-02-23
선화,제주특별자치도 제주시 평전길 1 ,29.4,064-724-5070,한식,2021-02-23
선흘,제주특별자치도 제주시 조천읍 선교로 198,125.51,,한식,2021-02-23
선흘곶,제주특별자치도 제주시 조천읍 동백로 102,167.25,,한식,2021-02-23
설농옥,제주특별자치도 제주시 관덕로8길 15,112.4,064-901-0662,한식,2021-02-23
설농옥시청점,제주특별자치도 제주시 동광로4길 9-2 ,163,064-757-4744,한식,2021-02-23
설농옥하귀점,제주특별자치도 제주시 애월읍 하귀14길 1,105.16,064-746-6060,한식,2021-02-23
설레임,제주특별자치도 제주시 애월읍 일주서로 5999-1,26.53,,한식,2021-02-23
설빙신제주직영점,제주특별자치도 제주시 신광로 65 ,355.72,,한식,2021-02-23
설악산황태,제주특별자치도 제주시 서해안로 208,82.2,,한식,2021-02-23
설원이네,제주특별자치도 제주시 연삼로 10,66.7,,한식,2021-02-23
설화콩탕,제주특별자치도 제주시 한림읍 문화길 16,58.32,,한식,2021-02-23
섬나라,제주특별자치도 제주시 구좌읍 구좌로 37-3,25.6,064-783-1901,한식,2021-02-23
섬돌,제주특별자치도 제주시 용문로18길 42-1,32.42,064-758-2733,한식,2021-02-23
섬라왕갈비탕,제주특별자치도 제주시 중앙로 606-4,242.61,064-721-4959,한식,2021-02-23
섬마당갈비,제주특별자치도 제주시 신산로8길 40 ,104.83,064-721-8583,한식,2021-02-23
섬사랑펜션식당,제주특별자치도 제주시 애월읍 애월해안로 766,72.46,064-749-9277,한식,2021-02-23
섬소나이,제주특별자치도 제주시 우도면 우도해안길 814,99.2,064-782-7345,한식,2021-02-23
섬오름,제주특별자치도 제주시 조천읍 조함해안로 355-7,79.85,064-782-1679,한식,2021-02-23
섬익스프레스,제주특별자치도 제주시 연동10길 13 ,22.4,064-749-3238,한식,2021-02-23
섬토박이,제주특별자치도 제주시 우도면 주흥1길 21,94.62,,한식,2021-02-23
성게애빠져,제주특별자치도 제주시 신대로14길 5 ,53.53,,한식,2021-02-23
성공,제주특별자치도 제주시 동문로4길 17-2 ,19.61,064-723-0979,한식,2021-02-23
성미,제주특별자치도 제주시 서광로18길 18 ,52.29,064-751-1250,한식,2021-02-23
성미가든,제주특별자치도 제주시 조천읍 미래로 604,253.68,064-783-7092,한식,2021-02-23
성산흑돼지두루치기행원점,제주특별자치도 제주시 구좌읍 행원로5길 35-3,132.93,,한식,2021-02-23
성세기갈비,제주특별자치도 제주시 구좌읍 김녕로21길 11,173.9,,한식,2021-02-23
성아시,제주특별자치도 제주시 한림읍 금능길 68,62.81,,한식,2021-02-23
성안식당,제주특별자치도 제주시 애월읍 애월로11길 5,144.68,064-799-0145,한식,2021-02-23
성온,제주특별자치도 제주시 고마로 4-1,12.96,,한식,2021-02-23
성지원,제주특별자치도 제주시 애월읍 광령평화2길 1,178.45,,한식,2021-02-23
성춘,제주특별자치도 제주시 성지로 68 ,42.68,064-753-0528,한식,2021-02-23
성호네,제주특별자치도 제주시 용화로 61 ,41.35,,한식,2021-02-23
세가름,제주특별자치도 제주시 한경면 신한로 20,31.32,064-772-7079,한식,2021-02-23
세기,제주특별자치도 제주시 동광로1길 32 ,12.4,064-757-4713,한식,2021-02-23
세미식당,제주특별자치도 제주시 조천읍 번영로 1208,253.44,064-783-1360,한식,2021-02-23
세안아구찜,제주특별자치도 제주시 신대로20길 12 ,67.98,064-749-5767,한식,2021-02-23
세은,제주특별자치도 제주시 연수로3길 13 ,59.2,064-757-0012,한식,2021-02-23
세이슌칠성로점,제주특별자치도 제주시 관덕로11길 35,118.13,,한식,2021-02-23
세종가든,제주특별자치도 제주시 용해로 87 ,223.09,064-713-1286,한식,2021-02-23
세컨드플로어,제주특별자치도 제주시 신성로 110,148.39,064-725-5725,한식,2021-02-23
세평맛집,제주특별자치도 제주시 구좌읍 세평항로 1,64.92,064-782-4566,한식,2021-02-23
세화국수동네,제주특별자치도 제주시 구좌읍 구좌로 31,26.4,064-782-6510,한식,2021-02-23
세화그때그집,제주특별자치도 제주시 구좌읍 세평항로 43,190.75,064-783-9244,한식,2021-02-23
세화야참,제주특별자치도 제주시 구좌읍 세화3길 4,85.8,,한식,2021-02-23
세화어머니손맛,제주특별자치도 제주시 구좌읍 세평항로 28,99,,한식,2021-02-23
세화잠수촌,제주특별자치도 제주시 구좌읍 해맞이해안로 1391,72.28,064-782-9285,한식,2021-02-23
세화포차,제주특별자치도 제주시 구좌읍 세화4길 4,35.5,064-783-9209,한식,2021-02-23
소금바치순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,36,064-784-0073,한식,2021-02-23
소금밭,제주특별자치도 제주시 구좌읍 종달동길 29-3,85.45,,한식,2021-02-23
소길낭,제주특별자치도 제주시 애월읍 장소로 79,53.77,,한식,2021-02-23
소길댁,제주특별자치도 제주시 애월읍 광상로 532-30,40.47,,한식,2021-02-23
소낭식당,제주특별자치도 제주시 조천읍 함와로 71,91.16,,한식,2021-02-23
소노벨제주어멍,제주특별자치도 제주시 조천읍 신북로 577,674.15,064-780-5040,한식,2021-02-23
소노벨제주카페테리아알뜨르,제주특별자치도 제주시 조천읍 신북로 577,1195.41,,한식,2021-02-23
소노벨제주해난디,제주특별자치도 제주시 조천읍 신북로 577,480.63,064-780-5040,한식,2021-02-23
소담골,제주특별자치도 제주시 신산로 21 ,83.74,064-724-1555,한식,2021-02-23
소락,제주특별자치도 제주시 남광로2길 7-17,109.92,,한식,2021-02-23
소랑국수,제주특별자치도 제주시 애월읍 애월로1길 24-5,67.52,064-799-8819,한식,2021-02-23
소랑드르,제주특별자치도 제주시 조천읍 비자림로 666,116.81,,한식,2021-02-23
소랑오름,제주특별자치도 제주시 명림로 575-107 ,907.46,064-725-9000,한식,2021-02-23
소리가있는풍경,제주특별자치도 제주시 아란서길 110,119,,한식,2021-02-23
소린상회,제주특별자치도 제주시 전농로 73-1 ,49.5,064-752-0382,한식,2021-02-23
소망식당,제주특별자치도 제주시 조천읍 신북로 39,32.43,,한식,2021-02-23
소문난두루치기,제주특별자치도 제주시 우정로 17,144.11,064-747-7478,한식,2021-02-23
소문난맛집,제주특별자치도 제주시 애월읍 애월해안로 945-2,119.3,,한식,2021-02-23
소문난먹거리,제주특별자치도 제주시 사장길 21,41.52,064-746-0133,한식,2021-02-23
소문난보배곱창,제주특별자치도 제주시 남성로4길 1,21,,한식,2021-02-23
소방서구내,제주특별자치도 제주시 중앙로 342 ,263.86,064-729-0125,한식,2021-02-23
소선우식당,제주특별자치도 제주시 선반남2길 25 ,74.5,,한식,2021-02-23
소설속에,제주특별자치도 제주시 우정로 44,93.65,,한식,2021-02-23
소섬전복,제주특별자치도 제주시 우도면 우도해안길 1158,209.65,,한식,2021-02-23
소영,제주특별자치도 제주시 삼무로9길 16 ,100.54,064-702-6992,한식,2021-02-23
소완도식당,제주특별자치도 제주시 임항로 80,100.11,,한식,2021-02-23
소원,제주특별자치도 제주시 일주동로 348,18.4,064-726-4518,한식,2021-02-23
소주카페,제주특별자치도 제주시 한림읍 한림로17길 1,16.9,064-796-8242,한식,2021-02-23
소주파티,제주특별자치도 제주시 신산로 10 ,20,064-756-0284,한식,2021-02-23
소풍,제주특별자치도 제주시 독짓골2길 9 ,44.02,064-726-8312,한식,2021-02-23
소확행,제주특별자치도 제주시 동광로 12,30,,한식,2021-02-23
속초,제주특별자치도 제주시 임항로 41,51.66,064-702-0036,한식,2021-02-23
속초코다리냉면제주시청점,제주특별자치도 제주시 동광로6길 25,213.5,,한식,2021-02-23
손가네,제주특별자치도 제주시 중앙로1길 2 ,126,,한식,2021-02-23
손두부촌,제주특별자치도 제주시 오복4길 9,143.1,064-757-3172,한식,2021-02-23
손맛,제주특별자치도 제주시 명림로 8 ,125.93,064-721-9930,한식,2021-02-23
손맛만석궁,제주특별자치도 제주시 용문로 134-1,110.2,,한식,2021-02-23
손맛촌,제주특별자치도 제주시 조천읍 비자림로 661,157.5,064-784-3378,한식,2021-02-23
손사장네행복하소,제주특별자치도 제주시 연북로 74,193.44,,한식,2021-02-23
손심엉,제주특별자치도 제주시 승천로 80 ,49.6,,한식,2021-02-23
손심엉본점,제주특별자치도 제주시 승천로 80 ,53,064-756-0290,한식,2021-02-23
손씨네,제주특별자치도 제주시 관덕로4길 18 ,54.61,,한식,2021-02-23
솔가람,제주특별자치도 제주시 애월읍 유수암평화5길 18,91.96,,한식,2021-02-23
솔도토종닭,제주특별자치도 제주시 애월읍 화전길 271,45.08,,한식,2021-02-23
솔또롱밥집,제주특별자치도 제주시 애월읍 하귀로 34,28.88,,한식,2021-02-23
솔바위,제주특별자치도 제주시 가령골1길 1 ,184.52,064-757-1419,한식,2021-02-23
솔박,제주특별자치도 제주시 칠성로길 46 ,72,064-752-2003,한식,2021-02-23
솔밭정,제주특별자치도 제주시 원노형4길 17 ,111.72,064-745-3609,한식,2021-02-23
솔정가든,제주특별자치도 제주시 오라로12길 9 ,110.4,064-751-2100,한식,2021-02-23
