,alltag,contentsid,contentscd,title,address,roadaddress,tag,introduction,readcnt,likecnt,reviewcnt,markcnt,snssharecnt,schedulecnt,visitcnt,evelpt,latitude,longitude,phoneno,sbst,PHOTOSHARECOUNT,cate2cd,cate3cd,imgpath,thumbnailpath
80,"퓨전,스테이크,파스타,리조또,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,가능",CNTS_000000000020431,음식점,도다모,제주특별자치도 제주시 아라이동 3004-1,제주특별자치도 제주시 신설로11길 5,"퓨전,스테이크,파스타,리조또,음식,회덮밥,리코타치즈샐러드",도담 도담 따스한 이야기와 맛있는 음식이 있는 공간,3769,1,2,8,0,0,0,4.0,33.4811111,126.5416667,064-752-5525,"도다모는 청정제주의 비옥한 화산토에서 생산한 제주 특산물을 주재료로 퓨전요리를 만드는 이탈리안 레스토랑이다. 이곳의 대표 메뉴는 리코타치즈샐러드, 문어 토마토 파스타, 도다모 회덮밥, 한우 찹스테이크, 도다모 수제돈까스 등이다.



매장이 넓어서 모임을 갖기에 좋고, 아이들의 놀이공간도 마련되어 있다.",5.0,양식,양식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2efe0a0c-b16d-430b-b2ec-33013fdd44ae.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/4a91ffba-cf4f-4fca-b2b4-7c7d8ec3f6bf.jpg
81,"흑돼지,동치미국수,한식,음식,오겹살,전복뚝배기,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501290,음식점,쉬는팡가든,제주특별자치도 서귀포시 상예동 1765-1,제주특별자치도 서귀포시 상예로 248,"흑돼지,동치미국수,한식,음식,오겹살,전복뚝배기",제주 흑돼지(솥뚜껑구이)와 동치미국수를 전문으로 하는 곳,4222,1,3,36,0,0,0,5.0,33.2667236,126.3944186,064-738-5833~4,가마솥에 구운 쫄깃한 흑돼지와 개운한 맛의 동치미 국수의 조화가 일품인 곳이다. 깔끔한 내부 인테리어와 넓은 야외 정원이 있어 더욱 편하게 이용할 수 있다.,2.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fd534b89-6cef-4549-9624-839070a9d928.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/4ed3cf59-f255-4669-bb35-be4c5917fe23.jpg
82,"카페,커피,아이스크림,공용주차장,현금결제,화장실,무료 WIFI,음료대",CNTS_000000000020602,음식점,노을언덕,제주특별자치도 제주시 도두이동 697,제주특별자치도 제주시 서해안로 360,"카페,커피,아이스크림,음식,디저트,아메리카노,카페라떼,카페모카,에이드,스무디",용담해안도로 언덕에 위치해 바다를 보며 커피를 즐길 수 있는 무인카페,2738,2,5,20,4,0,0,4.0,33.5106119,126.4834798,064-712-7898,"??'대문이 없어도 될 만큼 도둑이 없었다'는 제주와 잘 어울리는 무인카페. 이곳에선 손님이 계산하고, 음료를 만들고, 설거지까지 한다. 아이스크림, 커피, 차, 주스 등 다양한 메뉴가 있다. 요금표에 적힌 가격을 '맘소리함'이라는 상자에 넣거나 계좌이체 방식으로 이용할 수 있다. 여행자에 대한 믿음이 전제가 되어야 가능한 방식이기에 방문하는 사람도 공간에 대한 책임감이 있어야한다. 카페는 전체 2층으로 바다가 환하게 보인다. 중국인 관광객이 많아서 메뉴 및 기계에 중국어설명이 상세하게 기재되어있다. 블로그에는 지금까지 다녀간 손님들의 방명록이 사진으로 남겨져 있다.",9.0,카페,카페,https://api.cdn.visitjeju.net/photomng/imgpath/202111/08/a196e997-61db-4d34-9f14-64ece29100cd.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/08/02e7f188-da23-4ced-aa16-69db8c269a83.jpg
83,"전복죽,옥돔구이,전복뚝배기,공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,아주 어려움,가능",CNTS_000000000020718,음식점,선미식당,제주특별자치도 서귀포시 성산읍 성산리 189,제주특별자치도 서귀포시 성산읍 일출로 281,"전복죽,옥돔구이,전복뚝배기,음식,해물뚝배기,제주갈치조림,제주갈치구이,물회,성게미역국,고등어구이",성산에서 먹는 갈치조림과 뚝배기,1758,0,2,7,0,0,0,4.0,33.462708,126.934715,064-782-4811,"???????정겨운 친구네 집에서 먹는듯한 푸근한 한 끼

 제주도 여행에서 찾아가야 할 명소 중 하나인 성산일출봉은 항구와도 밀접해 있어, 각종 해산물 맛집들이 즐비해 있다.

많은 식당 중에서 선미식당은 갈치조림과 해물 뚝배기를 주요 메뉴로 판매한다.
???????다양한 밑반찬뿐만 아니라, 2인 이상 주문 시에는 고등어구이가 제공된다.

매장에는 전용 주차장이 있지만 성산일출봉에서 내려오면 바로 오른쪽에 위치해 있어 성산일출봉 주차장에 차를 세우고 오는 것이 편하다.
식당 내부는 30여 명 정도 수용 가능한 규모이고, 아침 일찍부터 열어 아침 식사를 할 수 있다. ",1.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202112/01/b4f0fdf3-6c0b-4a4b-ac39-a2a13681b1e5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/01/7a7b0077-dd0a-4afb-a9cd-22069f80f103.jpg
84,"스시,일식,오마카세,회,초밥,음식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,아주 어려움",CNTS_000000000001031,음식점,스시호시카이,제주특별자치도 제주시 오라2동 959-1,제주특별자치도 제주시 오남로 90,"스시,일식,오마카세,회,초밥,음식","제주시 KBS 신규청사 옆에 위치, 2016 KOREAT JEJU TOP10 선정",6475,1,7,34,3,0,0,5.0,33.487827,126.51764,064-713-8838,"??'초밥(스시)'과&nbsp;'별(호시)', 그리고&nbsp;'바다(카이)'를 상호로 쓰고 있는 스시호시카이는
별이 빛나는 제주 바다에서 자라난 해산물로 만든 스시를 선보이는 집이다.

단순한 레스토랑을 넘어 제주를 대표하는 하나의 문화 컨텐츠가 되겠다는 각오로
육지에서는 접하기 어려운 제주 자연산 식재료를 사용하여 최고의 맛과 서비스를 선보이고 있다.

카운터 9석, 4인실 룸 2개를 갖춘 실내는&nbsp;정갈하면서도 독창적이고 품격이 있다.
식물원을 연상케 하는 실내 가드닝, 눈길을 끄는 작품들, 일본에서 주문제작한 식기 등에서
맛 뿐만이 아니라 멋까지 즐길 수 있는&nbsp;공간을 꾸미고자 노력한 흔적이 엿보인다.

더불어&nbsp;카운터석을 조심히 가린 벽면에서는 고객의 프라이버시를 지키려는 배려가 돋보인다.
???

??


지금도 일본의 최고 스시집들을 탐방하며 공부하고 있다는 말이 무색하지 않은 것은,
최고의 식재료와 최고의 기술이 집합된 스시를 맛볼 수 있기 때문이다.

먼저, 샤리(스시의 밥 부분)는 가장 좋은 쌀로 밥알 한 톨의 식감도 고스란히 살려 만든다.
이때 일본 내에서도 최고급 스시 레스토랑에서만 취급하는 '아카스(장기숙성 적초)'를 쓰는 것이 특별하다.

네타(밥 위에 얹는 고명)로는&nbsp;제주에서만 맛볼 수 있는 옥돔스시, 금태스시, 백조기스시, 갈치스시, 생고등어스시 등
다양하고 특별한 스시를 맛볼 수가 있는 것이 장점이다.

그 날의 가장 신선한 재료로 주방장이 한 점 한 점 구성하는 '오마카세'는 스시호시카이의 진수를 맛볼 수 있는 메뉴다.

2016 KOREAT JEJU TOP10 선정단 한줄평 : 제주 일식의 가능성, 그 무궁무진함을 볼 수 있는 곳. 예술작품을 방불케 하는 회와 초밥의 향연.
",7.0,일식,일식,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/5ded7a46-14c1-4cae-8320-bbdcdf84b647.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/02/5767ff5a-94d5-439f-bb8a-144bd46b5232.jpg
85,"해장국,설렁탕,도가니탕,한식,음식,따로국밥,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,아주 어려움,착한가격 업소,가능",CONT_000000000501192,음식점,누리해장국,제주특별자치도 제주시 봉개동 1819-3,제주특별자치도 제주시 번영로 485,"해장국,설렁탕,도가니탕,한식,음식,따로국밥",제주시 번영로에 위치한 20년 전통 해장국집,2154,1,1,5,1,0,0,5.0,33.4910712,126.5941095,064-725-1088,"봉개동 번영로에 위치한 20년 전통 해장국 맛집. 대표 메뉴는 해장국, 특설렁탕이다. 이외에도 도가니탕, 냉면류까지 다양한 메뉴가 준비되어 있다. 또한 점심특선으로 11시 30분에서 13시까지 소고기 해장국밥을 판매한다. 절물자연휴양림, 제주노루생태공원, 샤려니숲길을 다녀온 후 또는 가기 전에 방문하거나, 인근 골프장과 가까워 이른 골프를 치기 전 이른 아침에 한 끼를 때우기 위해 방문하는 사람들이 잦다고 한다. 길가에 위치하고 있기 때문에 주차장이 따로 없어 인근에 주차를 해야 한다는 점을 참고하자.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3c26e379-00b5-4465-be84-f5e7b5d7e9af.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/fd9b1579-1763-4f76-bd02-90e7f314da5a.jpg
86,"해물짬뽕,해물라면,해물짜장,회덮밥,갈치조림,우럭조림,공용주차장,현금결제,카드결제,화장실,흡연구역",CNTS_000000000018617,음식점,우도자연,제주특별자치도 제주시 우도면 연평리 797,제주특별자치도 제주시 우도면 우도해안길 602,"해물짬뽕,해물라면,해물짜장,회덮밥,갈치조림,우럭조림,음식,라면",우도망루등대바로 앞에 위치한 중식과 한식을 다양하게 맛볼 수 있는 우도자연식당,2362,0,4,1,1,0,0,5.0,33.524437,126.95258,064-784-9911,"우도자연은 해물짬뽕,해물라면,해물짜장,회덮밥,갈치조림,우럭조림,보말칼국수 등 해산물 음식을 맛볼 수 있다.
신선한 해산물을 사용하고,  주방장이 손수 반죽을 하여 빼는 생면을 사용한다.",2.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202111/17/07a35ca9-af60-4d9e-a5d4-45ca67b57516.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/17/99245d4f-83cc-463f-80da-bc99eb58e375.jpg
87,"흑돼지,해장국,말고기,뼈다귀탕,육회,음식,현금결제,카드결제,화장실,음료대,단독접근가능,단차없음,테이블 비치,쉬움",CNTS_000000000001480,음식점,돈마구이해장국(연동점),제주특별자치도 제주시 삼동길 60,제주특별자치도 제주시 삼동길 60,"흑돼지,해장국,말고기,뼈다귀탕,육회,음식","돈마유통의 모든 노하우가 담겨 있는 흑돼지, 말고기 전문점",1671,0,1,1,0,0,0,5.0,33.4791,126.49498,064-744-4002,"돈마유통의 모든 노하우가 담겨 있는 흑돼지, 말고기 요리 전문점이다. HACCP인증 농장과 가공공장에서 공수하는 재료를 사용하여 안심하고 먹을 수 있는 먹거리를 제공한다. 가성미가 제일 좋은 메뉴는 '돈마 흑돼지 숯불 양념구이'이다. 2인 이상 주문할 수 있고 무한리필이기 때문. 인기메뉴로는 얼큰한 뼈다귀전골, 두툼한 흑돼지 오겹살, 흑돼지 목살 등이 있다. 식당 한 구석에서는 마유(말기름)와 마유를 이용한 여러가지 건강식품, 특산품 등을 판매중이니 참고하면 좋겠다.",3.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4ec91629-7793-4f95-96e0-a1dab98911a7.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6c4b24c9-a433-4007-8491-51b54629b399.gif
88,"비빔국수,돈가스,새우치즈구이,횟집,매운탕,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501361,음식점,제주올레횟집,제주특별자치도 서귀포시 서귀동 667-10,제주특별자치도 서귀포시 칠십리로 45,"비빔국수,돈가스,새우치즈구이,횟집,매운탕,음식,회,향토음식,다금바리",서귀포 제주 올레길 6코스 서귀포항에 위치한 제주올레횟집,3992,1,2,27,1,0,0,5.0,33.2408321,126.5618207,064-767-4422,"칠십리 음식특화거리에 있는 추천 맛집이며, 음성적인 수수료 없이 인하된 가격 정찰제로 운영되는 맛집이다.
모듬회를 주문하면 비빔국수, 흑돼지로 만든 돈까스, 콘치즈, 새우치즈구이 등 다양한 밑반찬들과 함께 회가 나오고 매운탕과 볶음밥으로 마무리된다.
여러 가지 맛을 한 번에 느끼고 싶다면 추천한다.



근처 관광지로는 세연교, 천지연폭포, 정방폭포, 이중섭문화거리 등이 있다.",1.0,일식,일식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/aa2b3ca6-5e4f-4fd2-ac26-0d2f1df86bd9.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/182b335d-328f-4c72-86e4-8f7d68680437.jpg
89,"보말죽,한치물회,회덮밥,매운탕,전복물회",CNTS_000000000020436,음식점,호돌이식당,제주특별자치도 제주시 한림읍 협재리 3026,제주특별자치도 제주시 한림읍 비양도길 284,"보말죽,한치물회,회덮밥,매운탕,전복물회,음식,한치",인기메뉴는 호돌이덮밥과 보말죽,2246,0,2,2,0,0,0,4.0,33.406414,126.23035,064-796-8475,"비양도에 도착하면 어렵지 않게 찾을 수 있는 식당이다. 밥 위에 성게알과 보말, 채소가 푸짐하게 올라간 호돌이덮밥이 인기 메뉴이다.
보말죽도 추천 메뉴인데, 사실 설명이 필요 없다. 오도독 씹히는 보말과 고소한 죽은 환상의 짝궁이다. 여름철 계절메뉴로 한치물회도 주문 가능하다.
호돌이식당은 수산물 택배 거래를 하고 있고, 민박집도 함께 운영 중이니 참고.",4.0,향토음식,향토음식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/152e1f02-875b-486b-89ca-7ee9af4df1d3.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b0063f2d-5ee0-4f53-bd6e-7ab135cce6b0.jpg
90,"중식,한라산볶음밥,해물짬뽕,전복스테이크",CNTS_000000000018941,음식점,우도아름다운소풍,제주특별자치도 제주시 우도면 연평리 988-1,제주특별자치도 제주시 우도면 우도해안길 446,"중식,한라산볶음밥,해물짬뽕,전복스테이크,음식","한라산 볶음밥과 해물짬뽕, 그리고 전복스테이크가 유명",2055,0,2,9,0,0,0,5.0,33.51474,126.94959,010-2384-3511,"?
우도의 중화요리집이며, 한라산 볶음밥, 해물짬뽕, 전복스테이크로 유명하다. 현금으로 결제하면 우도의 땅콩 아이스크림이나 음료수를 무료로 제공하는 이벤트를 진행하나, 내부 사정에 의해 변동될 수 있으므로 전화문의를 하는 것이 좋다. 3가지 대표 메뉴를 모두 즐길 수도 있고, 원하는 메뉴만 먹을 수 있는 2~4인 메뉴도 있다. 



예약 없이도 식사가 가능하며, 우도사랑협동조합버스를 타고 버스정류장 ""주흥곤여물통""에서 내리면 바로 건물이 보인다고 한다. 통유리로 만들어진 창 너머로 아름다운 우도 바다를 바라보며 여유로운 식사를 즐겨보자.
",5.0,중식,중식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7222d61d-ce86-49c9-bf82-b506f893db47.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/334f7323-4839-477e-ac0f-65b5479b4447.gif
91,"전복어,한식,향토음식,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,무료 WIFI,아주 어려움,가능",CONT_000000000501394,음식점,탑동산호전복,제주특별자치도 제주시 삼도이동 1206,제주특별자치도 제주시 탑동로 59,"전복어,한식,향토음식,음식,회,전복,전복죽,전복돌솥밥,전복뚝배기,성게국",20년 전통의 제주도 대표 향토음식 전복요리 전문점,4389,0,2,32,3,0,0,5.0,33.5180133,126.5186772,064-758-0123,"
탑동 바닷가, 라마다 호텔 앞에 위치하고 있으며,
20년 전통의 제주도 전복요리 전문점답게 비리지 않은 전복죽과 씹는 맛이 일품이 전복돌솥밥 등 정갈하고 푸짐한 전복요리가 유명한 곳이다.

외에도 전복뚝배기, 전복회, 전복구이, 성게국 등 다양한 메뉴가 준비되어 있다.



아침식사 및 단체 이용이 가능하고, 넓은 주차공간이 있다.
",2.0,향토음식,향토음식,https://api.cdn.visitjeju.net/photomng/imgpath/202112/09/761e0fed-d11b-4a6e-a734-6ed1a0c5cd72.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/09/2a0851a2-a125-43e8-b110-6eb66de9ade9.jpg
92,"조림,갈치조림,우럭조림,쥐치조림,방어,공용주차장,현금결제,카드결제,화장실,음료대,경보 및 피난시설,아주 어려움",CNTS_000000000001121,음식점,부두식당 (모슬포),제주특별자치도 서귀포시 대정읍 하모리 770-9,제주특별자치도 서귀포시 대정읍 하모항구로 62,"조림,갈치조림,우럭조림,쥐치조림,방어,음식,방어회,제주갈치조림,고등어회,고등어구이","겨울 바다의 왕, 방어 요리가 일품인 부두식당",9108,4,5,35,2,0,0,5.0,33.218906,126.25106,064-794-1223,"모슬포항 근처에 자리하고 있는 부두식당은 30년 전통이 있는 조림 전문식당이다.
부두식당은 싱싱한 제주산 갈치조림, 우럭조림, 쥐치조림과 여름메뉴로는 자리물회, 한치물회 등 다양한 메뉴가 있으며 
10월부터는 겨울 바다의 왕 방여요리를 제공한다. 
모슬포 항과 근접해 있는 부두식당의 특성상 비교적 싱싱한 방어를 맛볼 수 있다.
제주올레 11코스 인근에 있고, 11월이면 식당 앞 모슬포항 방어축제의 거리에서 방어축제가 열리니 들러보는 것도 좋다.",7.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202111/09/dfe8ad02-0b87-409d-9173-c61a0a6a9ac2.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/09/27c17d51-7b2e-451c-86c4-def05c878a1a.JPG
93,"회,횟집,일식,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",CNTS_000000000020365,음식점,나원회포차,제주특별자치도 서귀포시 서귀동 254-6,제주특별자치도 서귀포시 동문동로 2 (서귀동),"회,횟집,일식,음식,고등어회,방어회,광어회,한치회,한치,방어",오후 5시부터 새벽 2시까지 운영하는 횟집,2653,1,2,7,1,0,0,5.0,33.249676,126.56757,064-762-7878,"나원횟집에서 나원회포차로 상호명을 바꾸면서 가격을 내려 지역 주민들과 관광객 모두 가격 부담 없이 즐길 수 있게 가격을 조정하였다.



나원회포차의 최대 장점은 영업시간이다. 오후 5시부터 오전 2시까지 영업을 하기 때문에 늦은 저녁을 먹으러 오는 손님들이 많다. 나원횟집에서는 마치 꽃이 핀 듯 가지런히 놓인 회 플레이팅이  고급 일식집에서 대접을 받는 느낌이 든다고 한다. 사장님이 항구에서 신선한 회를 직접 공급하여 가격이 저렴하기까지 하니 단골이 많은 것은 당연. 회는 포장도 가능하니 참고하면 좋겠다.

근처 가볼 만한 곳으로는 천지연폭포, 정방폭포, 이중섭미술관 등이 있다.",3.0,일식,일식,https://api.cdn.visitjeju.net/photomng/imgpath/202111/29/59cb33cb-7ebc-47ed-9b73-9b87ebe62910.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/29/ba1daa4d-29bb-44ba-81cb-9760bf5495b0.jpg
94,"전복죽,고사리죽,고기국수,공용주차장,현금결제,카드결제,화장실,음료대,아주 어려움",CNTS_000000000020666,음식점,꽁순이네,제주특별자치도 제주시 애월읍 상가리 1980-2,제주특별자치도 제주시 애월읍 중산간서로 5642,"전복죽,고사리죽,고기국수,음식,멸치국수,비빔국수,몸국",제주시 애월읍 상가리에 위치한 국수 전문점 꽁순이네입니다.,1908,0,1,5,0,0,0,3.0,33.446922,126.3388,064-799-1300,"
깔끔하고 담백한 국물이 일품인 꽁순이네.



이곳의 대표 메뉴는 몸국, 고기국수이며, 이외에도 비빔국수, 멸치국수, 수육 등도 판매하고 있다. 제주도에서만 먹을 수 있는 몸국도 유명한데, 비린내도 안나고 맛있다.

고기국수 위 살코키와 비계가 적절한 돔베고기와 함께 반쯤 먹은 후 청양고추를 살짝 넣어주면 매콤하고 더 맛있게 먹을 수 있다고 한다.



애월의 숨은 맛집을 찾는다면 방문해보자.",1.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5dc0b99c-149e-4c54-a9b1-d27b4f340518.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/8c679e00-defe-4f25-8129-da8ba7495fbc.jpg
95,"카페,커피,비엔나커피,와토알프스,공용주차장,화장실,무료 WIFI,아주 어려움",CNTS_000000000020965,음식점,와토커피,제주특별자치도 서귀포시 대정읍 상모리 3854-5,제주특별자치도 서귀포시 대정읍 동일하모로 238,"카페,커피,비엔나커피,와토알프스,음식,과일주스,아메리카노",고요하고 따뜻한 마을 대정읍에 맛있는 커피 향이 폴폴 나는 로스터리 카페,2414,2,4,25,1,0,0,5.0,33.2254,126.25662,010-8324-1455,"한적하고 조용한 위치에 자리하고 있는 와토커피는 버스정류장 바로 앞에 있기 때문에 어렵지 않게 찾을 수 있다.
테이블은 6개 정도 있는 작은 카페 이지만 동네 주민들을 포함하여 일부러 멀리서 찾아오는 손님들까지 사람들의 발길이 끊이지 않는 곳이다.
모던하고 깔끔하며 아기자기한 인테리어는 센스 있는 젊은 남자 사장님이 손수 가꾸고 꾸민 흔적이다.

와토커피에는 와토 알프스라는 독특한 메뉴가 있다. 커피에 달콤한 크림이 올라간 메뉴인데, 가장 인기가 많다.
워낙에 커피 맛이 좋기로 유명한 데다가 그 위에 달달한 크림이 올라가 있는 와토 알프스는 마치 알프스 산맥에 눈이 쌓인 모습 같아서 먹기가 아까울 정도이다.
대정읍 상모리를 찾는다면, 와토커피에 방문해 커피에 대한 자부심과 애정으로 가게를 운영하고 있는 친절한 사장님과 ???????매장에 있는 사장님과 꼭 닮은 캐릭터를 찾아보는 재미난 경험을 해보길 바란다.",11.0,카페,카페,https://api.cdn.visitjeju.net/photomng/imgpath/202111/16/b5d7f600-5388-4c62-af62-0d4c4429529c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/16/014df056-6a7a-4f65-844d-9a0162277e33.jpg
96,"갈치조림,양념옥돔구이,톳죽,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",CNTS_000000000020496,음식점,천리식당,제주특별자치도 제주시 구좌읍 송당리 1511-3,제주특별자치도 제주시 구좌읍 송당6길 30,"갈치조림,양념옥돔구이,톳죽,음식,제주갈치조림,옥돔,옥돔구이,갈치구이,제주갈치구이",비자림 근처 천리식당,2686,1,2,14,2,0,0,5.0,33.468678,126.78493,064-782-5650,"구좌읍 송당리에 있으며 노란 외관이 눈에 확 들어와 음식점을 찾기 쉽다.



천리식당의 메뉴는 갈치조림, 갈치구이, 옥돔구이. 딱 세 가지 메뉴만 있으며 모두 제주산 생선을 사용한다.

음식을 주문하면 에피타이저로 무우차와 감자전, 톳죽이 제공되는데 고소하고 간단히 입가심하기에 좋다. 에피타이저는 천 원에 추가가 가능하다고 한다. 갈치조림은 집 밥과 같이 푸짐하고 정감이 가는 한상차림이 준비된다. 같이 제공되는 반찬과 함께 쌈을 싸먹어도 보자.



주차는 식당 앞 또는 건너편에 주차가 가능하다.

",3.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0346a82e-e9fd-457d-a72b-3189e44cf560.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/2d61414a-f0ba-4ec8-ae2e-b4283aca9062.jpg
97,"돈까스,무한리필,양식,공용주차장,화장실,아주 어려움",CNTS_000000000021498,음식점,데미안,제주특별자치도 제주시 한경면 조수리 1621,제주특별자치도 제주시 한경면 고조로 492-15,"돈까스,무한리필,양식,음식,햄버거스테이크,햄버거,흑돼지,파스타",수제 흑돼지 돈까스가 무한리필,2134,0,1,6,0,0,0,5.0,33.32901,126.221903,070-8817-8555,"식사를 주문하면 김가루를 뿌린 전복죽이 찻잔에 나온다. 메인으로는 제주 흑돼지 돈까스, 스위트콘, 치자 소스를 얹은 양배추 샐러드, 감자튀김, 밥, 무말랭이 장아찌, 포도향의 양배추피클이 한 접시에 나온다. 돈까스는 무한리필. 후식은 무료이며 커피, 귤차, 박하차, 허브차, 코코아, 녹차, 탄산음료 중에서 고르면 된다. 박하와 허브는 무농약으로 직접 재배한다고 한다.대중교통으로는 찾아가기 힘든 곳이라 자가용을 이용하여 방문하는 것을 추천한다. 간판이 작기 때문에 무심히 지나치는 것을 주의하자. 매장에는 테이블이 4개 정도만 있다. 전화예약은 불가하니 참고하면 좋겠다.",3.0,양식,양식,https://api.cdn.visitjeju.net/photomng/imgpath/202112/20/4bc03bf2-f926-4a1d-9fac-a32a2e12b0aa.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/20/34fdd0d4-c92e-4247-9bcb-6b32f6f719e1.jpg
98,"회,객주리조림,갈치조림,공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,아주 어려움",CNTS_000000000020430,음식점,덕승식당(구관),제주특별자치도 서귀포시 대정읍 하모리 770-3,제주특별자치도 서귀포시 대정읍 하모항구로 66,"회,객주리조림,갈치조림,음식,물회,한치물회,전복물회,문어물회,소라물회,갈치구이,제주갈치조림,제주갈치구이,한치","생선요리가 맛있는 식당, 2016 KOREAT TOP10 선정",5242,3,3,31,3,0,0,4.0,33.2192451,126.2513444,064-794-0177,"제주에서도 거칠기로 유명한 모슬포 바다는 사람이 살기 힘들어 '못살포'라 불릴 정도였다. 모슬포 바다에서 잡은 생선들은 거센 파도를 이겨내서일까 유난히 맛이 좋다. 덕승식당에서는 사장님이 '덕승호'를 타고 바다에 나가 잡은 생선만을 재료로 사용한다. 갈치조림은 가장 인기있는 메뉴이다.

2016 KOREAT JEJU 선정단 한줄평: 겨울철 별미 방어회와 제주 객주리(쥐치) 조림 특유의 쫄깃함이 특징. 갓 잡은 싱싱한 생선을 그대로 밥상에 차려주는 고마운 집.",4.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3ac19cb0-1e5f-41e4-9854-62905921569d.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5e38e3b7-7748-498e-8ec1-eb301ec1dd38.gif
99,"흑돼지,두루치기,게우밥,전복장,음식,갈치조림,간장게장,공용주차장,화장실,단독접근가능,단차없음,테이블 비치,쉬움",CNTS_000000000001177,음식점,돌집식당,제주특별자치도 서귀포시 표선면 성읍리 1624-3,제주특별자치도 서귀포시 표선면 서성일로 23,"흑돼지,두루치기,게우밥,전복장,음식,갈치조림,간장게장",성읍민속마을에서 맛보는 신선한 흑돼지 구이,2190,0,1,8,0,0,0,3.0,33.39403,126.800644,064-787-3720,"2대째 이어져 오는 흑돼지 전문점의 이유 있는 인기 성읍민속마을 근처에 위치한 이름 그대로 돌로 쌓인 건물인 ‘돌집식당’은 2대째 이어오는 흑돼지 전문점이다. 다양한 부위의 흑돼지를 한 번에 맛볼 수 있는 흑돼지 모둠이 이곳의 대표 메뉴이며, 흑돼지 두루치기, 전복장 정식, 게우밥(전복 내장 볶음밥) 등 다양한 정식 메뉴와 단품 메뉴가 있다. 밑반찬으로 나오는 간장게장은 인기가 많아 전국으로 택배 배달도 하고 있다. 식당 한편에는 제주도 전통 수제 과자인 감귤과즐, 감귤파이 및 젤리도 함께 판매하고 있어 식사 후 후식을 구매할 수 있다. 성읍민속마을의 특성상 일찍 닫는 주변의 식당에 비해 늦은 시간까지 열기 때문에 저녁식사를 해결할 수 있고, 10명 이상 단체로 오는 경우에는 예약을 하면 더 편하게 이용할 수 있다. ",1.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201911/06/4739b6c0-323d-49db-b527-e2ac47ca338f.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201911/06/39b5c46a-5f2d-4e9d-b501-4b1a9372cb64.jpg
